,,Employment size,,,,,,,,
Code,Area,0-4,5-9,10-19,20-49,50-99,100-249,250+,Total,
,,,,,,,,,,
E09000001,City of London,"18,160","3,475","2,620","1,665",700,490,355,"27,465",
E09000002,Barking and Dagenham,"6,355",830,455,275,100,65,15,"8,095",
E09000003,Barnet,"21,170","2,345","1,170",595,245,100,35,"25,660",
E09000004,Bexley,"7,730","1,050",570,375,155,75,30,"9,985",
E09000005,Brent,"13,455","1,785",875,475,225,125,50,"16,990",
E09000006,Bromley,"13,710","1,715",865,525,210,105,35,"17,165",
E09000007,Camden,"26,665","4,055","2,630","1,585",585,335,185,"36,040",
E09000008,Croydon,"13,170","1,775",965,580,210,105,55,"16,860",
E09000009,Ealing,"15,560","1,990","1,020",575,245,125,45,"19,560",
E09000010,Enfield,"11,465","1,580",825,470,200,110,40,"14,690",
E09000011,Greenwich,"9,255","1,055",600,445,145,75,35,"11,610",
E09000012,Hackney,"18,055","2,110","1,325",725,225,85,35,"22,560",
E09000013,Hammersmith and Fulham,"10,865","1,630","1,020",660,215,125,60,"14,575",
E09000014,Haringey,"10,975","1,310",670,360,100,50,15,"13,480",
E09000015,Harrow,"13,585","1,350",670,305,105,65,15,"16,095",
E09000016,Havering,"8,585","1,290",705,405,170,80,30,"11,265",
E09000017,Hillingdon,"11,870","1,655","1,000",685,310,195,95,"15,810",
E09000018,Hounslow,"11,675","1,530",895,515,240,150,75,"15,080",
E09000019,Islington,"16,680","2,380","1,600","1,040",385,205,115,"22,405",
E09000020,Kensington and Chelsea,"11,590","2,055","1,290",655,195,95,45,"15,925",
E09000021,Kingston upon Thames,"7,955","1,000",590,375,105,70,30,"10,125",
E09000022,Lambeth,"12,190","1,530","1,025",660,200,105,75,"15,785",
E09000023,Lewisham,"9,250","1,040",535,320,120,65,15,"11,345",
E09000024,Merton,"10,125","1,100",640,420,150,65,25,"12,525",
E09000025,Newham,"11,440","1,360",700,485,210,115,55,"14,365",
E09000026,Redbridge,"12,600","1,375",675,345,120,80,20,"15,215",
E09000027,Richmond upon Thames,"11,900","1,380",765,410,140,65,30,"14,690",
E09000028,Southwark,"13,445","2,160","1,535","1,040",380,215,120,"18,895",
E09000029,Sutton,"7,575",995,505,300,120,65,30,"9,590",
E09000030,Tower Hamlets,"14,680","2,200","1,325",890,325,185,145,"19,750",
E09000031,Waltham Forest,"10,245","1,160",600,315,120,55,20,"12,515",
E09000032,Wandsworth,"15,415","1,815","1,015",575,205,100,35,"19,160",
E09000033,Westminster,"39,150","8,790","5,655","3,180","1,160",620,355,"58,910",
,,,,,,,,,,
E13000001,Inner London,"228,560","35,910","22,945","13,840","5,005","2,790","1,610","310,660",
E13000002,Outer London,"217,985","26,960","14,390","8,390","3,315","1,775",710,"273,525",
,,,,,,,,,,
E12000001,North East,"57,715","13,995","8,310","5,580","1,920","1,045",455,"89,020",
E12000002,North West,"219,520","43,435","24,890","17,250","5,905","3,150","1,375","315,525",
E12000003,Yorkshire and The Humber,"151,780","31,625","18,760","12,620","4,555","2,270",965,"222,575",
E12000004,East Midlands,"148,920","27,430","16,210","11,195","3,785","2,115",835,"210,490",
E12000005,West Midlands,"176,265","34,060","19,475","13,055","4,600","2,525","1,105","251,085",
E12000006,East,"226,060","40,470","22,350","14,370","4,965","2,630","1,005","311,850",
E12000007,London,"446,545","62,870","37,335","22,230","8,320","4,565","2,320","584,185",
E12000008,South East,"351,380","57,540","33,755","21,950","7,370","4,000","1,650","477,645",
E12000009,South West,"194,470","37,735","22,110","14,115","4,505","2,335",900,"276,170", 
,,,,,,,,,,
E92000001,England,"1,972,655","349,160","203,195","132,365","45,925","24,635","10,610","2,738,545",
W92000004,Wales,"87,680","19,435","10,850","6,970","2,120","1,185",505,"128,745",
S92000003,Scotland,"146,820","34,520","20,715","13,290","4,355","2,375","1,050","223,125",
N92000002,Northern Ireland,"63,840","12,045","7,090","4,670","1,565",690,290,"90,190",
,,,,,,,,,,
K04000001,England and Wales,"2,060,335","368,595","214,045","139,335","48,045","25,820","11,115","2,867,290",
K03000001,Great Britain,"2,207,155","403,115","234,760","152,625","52,400","28,195","12,165","3,090,415",
K02000001,United Kingdom,"2,270,995","415,160","241,850","157,295","53,965","28,885","12,455","3,180,605",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
